,id,text,created_at,user,username,user_id,user_location,user_followers,user_following,user_verified,user_tweets_count,user_created_at
224,1540567719489191938,"RT @coryklippsten: The best way to buy bitcoin for anyone with steady cash inflow is via an Automatic Recurring Purchase Plan, (aka “Auto-D…",Sat Jun 25 05:29:01 +0000 2022,Aldo,aldom92,147043669,TX,2982,1868,False,74182,Sun May 23 02:20:41 +0000 2010
225,1540567717526310912,@bitcoin_is_hope @SBF_FTX Having been does though,Sat Jun 25 05:29:00 +0000 2022,DonAlt,CryptoDonAlt,878219545785372673,,410886,448,False,26050,Fri Jun 23 11:53:51 +0000 2017
226,1540567711511564288,RT @BitcoinBF: Let's give away some Bitcoin on this Friday. I'll randomly choose one person who Retweets this and send them $25 in BTC.  Mu…,Sat Jun 25 05:28:59 +0000 2022,nincha,xiamxchange,1488047265801326595,"San Juan La Union, Philippines",248,1007,False,3016,Mon Jan 31 07:11:45 +0000 2022
227,1540567711255736320,RT @Nneuman: Get ready for years of bankruptcy proceedings before any customers receive even a fraction of the bitcoin they held at Celsius…,Sat Jun 25 05:28:59 +0000 2022,Mike,ApeDegenCrypt,1516940148528730114,,292,1027,False,18301,Thu Apr 21 00:41:38 +0000 2022
228,1540567703064543232,RT @turaxtoken: Take part info  our #Airdrop  Our listing iş coming soon. In July! Get ahead of everyone and earn some tokens. #Turax #Cryp…,Sat Jun 25 05:28:57 +0000 2022,ilycmdv 🙏🏼🍀,ilycmdv,1332896452918448130,Philippines,258,1508,False,72922,Sun Nov 29 03:57:46 +0000 2020
229,1540567702632386560,"RT @MotorUp2: Yo. #Crypto fool. Time to jump onboard #xRhodium,#XRC. Get off your #Bitcoin butt and do some research.  https://t.co/C6dqKwV…",Sat Jun 25 05:28:57 +0000 2022,Trader,XRCHolder,1432440407925874690,,21,74,False,1334,Mon Aug 30 20:30:04 +0000 2021
230,1540567680100474880,@kirakfw I lost my coinbase wallet with my bitcoin and meta mask + I need a sugar mommy + I need a sugar daddy + he… https://t.co/YBTyI4U4wZ,Sat Jun 25 05:28:51 +0000 2022,austin,jelqenthusiast,1531367613091270656,,12,86,False,19,Mon May 30 20:11:21 +0000 2022
231,1540567676447502336,"RT @KapitalDAO: The price of bitcoin fell below $20,000, a figure closely watched by cryptocurrency aficionados, as a violent selloff in cr…",Sat Jun 25 05:28:51 +0000 2022,alter ego,crayush7op,1494962944278339584,,12,103,False,308,Sat Feb 19 09:12:04 +0000 2022
232,1540567668126007296,@SharksCoins @PeakyInu PeakyInu  TO the  fucking koon @1goonrich @AltCryptoGems  #Peakyinu #peakygem #Peakymoonshot… https://t.co/EvqVKRKtwg,Sat Jun 25 05:28:49 +0000 2022,WHALE GEMS,WHALEGEMS1000X,1522770556717867008,,57,39,False,108,Sat May 07 02:49:36 +0000 2022
233,1540567663142875136,RT @FlylightsTech: #Flylights FL104 #deliverydrone  Nature Friendly The FL 104’s upper section provides approximately 10% energy saving on…,Sat Jun 25 05:28:47 +0000 2022,MD Mazaharul Islam,MDMazah51375902,1382547357762392068,"Dhaka, Bangladesh",53,1384,False,3137,Thu Apr 15 04:12:47 +0000 2021
234,1540567641433292801,RT @YoloOptions: @TomerStrolight Out of these 7 traits of Money.  Bitcoin scores 6 Gold 4 Fiat 2 https://t.co/ctn5mnmIZS,Sat Jun 25 05:28:42 +0000 2022,Darth Bitcoin,markredtally,501107984,,171,1179,False,734,Thu Feb 23 20:08:20 +0000 2012
235,1540567639072055296,@Dennis_Porter_ #Bitcoin will win either way,Sat Jun 25 05:28:42 +0000 2022,T,T80Davenport,964005280605290497,,121,225,False,4074,Thu Feb 15 05:15:44 +0000 2018
236,1540567631627014144,RT @BitcoinMagazine: Forbes: #Bitcoin can help solve the world's income inequality problem,Sat Jun 25 05:28:40 +0000 2022,abduls hamad,HamadAbduls,1090392123646590977,,76,242,False,14353,Tue Jan 29 23:31:55 +0000 2019
237,1540567631387889666,Before claiming crypto is a fad do 30 hours of research  Really isn’t that long  Start off w reading the Bitcoin st… https://t.co/10ScoUiV8n,Sat Jun 25 05:28:40 +0000 2022,Michael Hage,michaelhage14,752005031226990593,,310,413,False,771,Sun Jul 10 05:02:25 +0000 2016
238,1540567631375511553,@CutieBabeGem15 @jiaeri88 @Crypto_Babe15 @PeakyInu PeakyInu  TO the  fucking koon @1goonrich @AltCryptoGems… https://t.co/1NqZddvwzM,Sat Jun 25 05:28:40 +0000 2022,WHALE GEMS,WHALEGEMS1000X,1522770556717867008,,57,39,False,108,Sat May 07 02:49:36 +0000 2022
239,1540567629374554113,"59,088 #BitcoinCash #BCH (6,617,817 USD) transferred with 0.0002 USD TX fee  $BCH TX: https://t.co/k67dANKBR9",Sat Jun 25 05:28:39 +0000 2022,WhaleAlertBCH,WhaleAlertBch,1279071043118915584,,9351,26,False,14772,Fri Jul 03 15:15:08 +0000 2020
240,1540567625985564672,The #Bitcoin market might be 'down' but us HODLers are out there holding the line and styling our statement 😎 https://t.co/iOH5c9sPGK,Sat Jun 25 05:28:39 +0000 2022,Merchandise IX,MERCH_IX,909779700788101122,The Blockchain,661,418,False,536,Mon Sep 18 14:02:38 +0000 2017
241,1540567624995999744,"RT @SlingShotOn: When #Bitcoin reaches $40,000 again ( I know we are in a bear market right now)  I will buy a full computer gaming/crypto…",Sat Jun 25 05:28:38 +0000 2022,chaa 🐣 • kinda ia,bbyysugarrr,1386294280688332805,(she/her)  •  #아스트로,3698,2322,False,113450,Sun Apr 25 12:21:36 +0000 2021
242,1540567622777028609,"RT @HukAleksandra: It’s the year 2030, Bitcoin crashed from $1.8M to $980k  The media: #Bitcoin is dead",Sat Jun 25 05:28:38 +0000 2022,FalaksherBaloch,BinanceWorld2,1451967336819351554,,21,103,False,1232,Sat Oct 23 17:43:01 +0000 2021
243,1540567622319734786,"53,422 #BitcoinCash #BCH (5,983,225 USD) transferred with 0.0002 USD TX fee  $BCH TX: https://t.co/UcH6eS6mXn",Sat Jun 25 05:28:38 +0000 2022,WhaleAlertBCH,WhaleAlertBch,1279071043118915584,,9351,26,False,14772,Fri Jul 03 15:15:08 +0000 2020
244,1540567622131105797,"@WhaleInfos @RealFlokiInu @BabyDogeCoin @bitgertbrise @EverRise #BitgertArmy 🥷🏼  ➡ Its A New Week, Are You Ready Fo… https://t.co/EJB7EovGcm",Sat Jun 25 05:28:38 +0000 2022,Mahdirazavi,Mahdirazavi2012,490312191,usa,58,52,False,20473,Sun Feb 12 12:42:09 +0000 2012
245,1540567617433473024,Saddle․Finance Creates New Standards for DeFi Trading https://t.co/SpDZl72SG6,Sat Jun 25 05:28:37 +0000 2022,Crypto Tom,CryptoTomBD,1107645458116009984,Earth,131,527,False,854,Mon Mar 18 14:10:31 +0000 2019
